JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
FMCG specialist / Sales coordinator,GI Pharma,Dubai,"Devise and maintain office filing system.
In-depth knowledge of MS Excel, office management systems and procedures.
Job Types: Full-time, Permanent.",,14 days ago,https://ae.indeed.com/company/ShineDubai/jobs/Fmcg-Specialist-a6a7e5f3ea889046?fccid=917c3845561dbae1&vjs=3
Administrative Assistant,Easy Step Businessman Services,Dubai,"Candidate must wear mask and enter the office.
Administrative assistant: 2 years (Required).
Job Types: Full-time, Contract, Permanent.",,22 days ago,https://ae.indeed.com/company/Easy-Step-Businessman-Services/jobs/Administrative-Assistant-07f4abeb1b26e0c3?fccid=bf863523e1651f98&vjs=3
Operations Assistant,Chocolala,Ras al-Khaimah,"Monitoring All shop requests and concerns.
Responsible for monitoring fire extinguisher for shops, Head Office and Warehouse.
Job Types: Full-time, Contract.",,9 days ago,https://ae.indeed.com/company/CHOCOLALA-LLC/jobs/Operation-Assistant-751cdade2db4c3b6?fccid=04bcda0f4877914b&vjs=3
Receptionist,VLCC international UAE Slimming and Beauty,Dubai,"Update directory information on the front office software.
1 year experience in as a receptionist/ admin assistant in any retail chain.",,8 days ago,https://ae.indeed.com/company/VLCC-international-UAE-Slimming-and-Beauty/jobs/Receptionist-f62bfbb06757769f?fccid=44b3870be5e69d39&vjs=3
Real Estate Admin Assistant,Achiever Properties LLC,Dubai,"Day-to-day operations include answering the telephone, taking messages, scheduling appointments, preparing real estate forms, documents and correspondence,…",,20 days ago,https://ae.indeed.com/company/Achiever-Properties-LLC/jobs/Real-Estate-Admin-Assistant-a55764a4d1eff358?fccid=650752aad9a870c9&vjs=3
Personal Assistant to CEO,Petrofleet FZE,Dubai,"Proven experience working as a personal assistant required.
Proficient in IT especially MS Office applications & Social networking.",,30+ days ago,https://ae.indeed.com/company/AMS-MARINE/jobs/Personal-Assistant-CEO-d0daed4c3b49abbb?fccid=da7fd19583529fd2&vjs=3
Office Assistant / driver,dar rabie publishing,Dubai,"Office aide: 1 year (Preferred).
Job Types: Full-time, Contract.
Personal protective equipment provided or required.",,30+ days ago,https://ae.indeed.com/company/dar-rabie-publishing/jobs/Office-Assistant-458dd47acf075158?fccid=fb3c11b2b4fbb0a6&vjs=3
Guest Service Agent,Al Khoory Hotels,Dubai,Professionally handles both check in and checks out of our guests and at the same time to maintain a high standard of service of guest expectation.,,8 days ago,https://ae.indeed.com/company/Al-Khoory-Hotels/jobs/Guest-Service-Agent-75f003cba7cfe21d?fccid=c6450f7476e947ee&vjs=3
Receptionist / Admin Assistant,Cambridge Middle East Interiors,Dubai,"General office management such as ordering stationary, pantry necessities.
Assist visitors by greeting, welcoming, directing and announcing them appropriately.",,23 days ago,https://ae.indeed.com/company/Cambridge-Middle-East-Interiors/jobs/Receptionist-08a875b5b6dabeba?fccid=44b7316b024ad066&vjs=3
Accounts Assistant,Anwar Al Redha General Trading LLC,Dubai,"Knowledge in Microsoft office and Basic Accounting is an advantage.
Applicant must be a graduate of any business related course.
Job Types: Full-time, Contract.",,29 days ago,https://ae.indeed.com/company/Anwar-Al-Redha-General-Trading-LLC/jobs/Account-Assistant-9533055cca9cac4b?fccid=d168673294949948&vjs=3
Sales Supervisor,2GIS Advertising,Dubai,"Supervise sales representatives and assistants.
2GIS is a city information service, free of charge available as a Mobile, PC and Web versions.",,28 days ago,https://ae.indeed.com/company/2GIS-Advertising/jobs/Sales-Supervisor-77c63d88ba28955d?fccid=7aa99f76d3f624b0&vjs=3
Assistant Accountant,Nabil Elkhatib Fire Protection Eng. LLC,Sharjah,"Microsoft office: 3 years (Required).
Candidate has to have good accounting knowledge, and communications skills, and Microsoft office skills.",,8 days ago,https://ae.indeed.com/company/Nabil-ElKhatib-fire-protection-eng.-llc/jobs/Assistant-Accountant-90dda6601a09cd7e?fccid=792bf97a0b79ed95&vjs=3
Accountant/Operation assistant,TRIE CLEANING SERVICES,Dubai,"Supports company operations by maintaining office systems and supervising staff.
Maintains office services by organizing office operations and procedures,…",,17 days ago,https://ae.indeed.com/company/TRIE-CLEANING-SERVICES/jobs/Accountant-Operation-Assistant-c6a8c209aec1f7cd?fccid=0f0450e2b770dcfb&vjs=3
Female Admin Assistant/Secretary,Korea and Middle East Trading and Manufacturing AP...,Sharjah,"Organize office and assist associates in ways that optimize procedures.
Resolve office-related malfunctions and respond to requests or issues.",,30+ days ago,https://ae.indeed.com/company/apcoflex/jobs/Female-Admin-Assistant-Secretary-d33b6db6d9f37549?fccid=90f5c29042a5e9d1&vjs=3
Assistant Manager Accounts & Finance,Xad Technologies,Sharjah,"Liaising with head office and writing up quarterly/annual reports.
Overseeing and preparing income statements.
Streamlining accounting functions and operations.",,30+ days ago,https://ae.indeed.com/company/XAD-Technologies/jobs/Assistant-Manager-Account-Finance-1543b165ae37f6cb?fccid=53367e7fa2500e15&vjs=3
Office Assistant,AL REAYAH AELIYAH PHARMACY,Sharjah,"MUST BE COMPUTER LITERATE AND SHE KNOWS HOW TO HANDLE CUSTOMERS PROPERLY,.
AND MUST HAVE AT LEAST 1 YEAR/S OF EXPERIENCE IN WEB PROGRAM AND DESIGN.",,22 days ago,https://ae.indeed.com/company/AL-REAYAH-AELIYAH-PHARMACY/jobs/Office-Assistant-cc30e589b1093bdf?fccid=f3200a7137f05601&vjs=3
Arabic Secretary for Chairman (Male or Female),Concord Stars Contracting LLC,Dubai,"Familiarity with office organization and optimization techniques.
Check frequently the levels of office supplies and place appropriate orders.",,5 days ago,https://ae.indeed.com/company/CONCORD-STARS/jobs/Arabic-Secretary-Chairman-49337068c05a4cc6?fccid=ba1641deb498b730&vjs=3
Receptionist / Admin Assistant,Future Scaffolding and Aluminium Industries LLC,Dubai,"Answer Calls, Purchase of Office supplies from stationery, Filing of documents, Greeting visitors, Scanning documents, Booking and co-ordinating with Couriers.",,19 days ago,https://ae.indeed.com/company/Future-Scaffolding-and-Aluminium-Industries-LLC/jobs/Receptionist-908c50b193e5c5ab?fccid=f74d8f1aa26be1ac&vjs=3
Arabic Receptionist /Admin Executive,Whitespace Architects - Dubai HO,Dubai,"Experience as a virtual assistant.
Performing office duties that include ordering supplies and managing a records database.
Assist PM’s in prepare for meetings.",,30+ days ago,https://ae.indeed.com/company/Whitespace-Architects/jobs/Arabic-Receptionist-1e895d812369b835?fccid=3f4315fcc5206fd2&vjs=3
Assistant Accountant,Al Ekhtyar Almumayz Business Center,Dubai,"Must be an Accountancy Graduate.
Job Types: Full-time, Permanent.",,30+ days ago,https://ae.indeed.com/company/Al-Ekhtyar-Almumayz-Business-Center/jobs/Assistant-Accountant-457154c34255c203?fccid=9917f76987ab2e4d&vjs=3
Administrative Assistant - Russian Speaker,UIG FZC,Dubai,"Proven admin or assistant experience.
Greet and assist visitors to the office.
Knowledge of office management systems and procedures.",,30+ days ago,https://ae.indeed.com/company/United-Investment-Group/jobs/Administrative-Assistant-196bdecee31b8f15?fccid=2d1f6ae92f33d7c3&vjs=3
Housekeeping/Office Assistant,medlink medical centre,Abu Dhabi,"Office assistant: 1 year (Required).
The candidates should have a minimum of 01 year experience in a Medical Center/Dental Center/Hospital.",,26 days ago,https://ae.indeed.com/company/Medlink-medical-center/jobs/Housekeeping-Office-Assistant-5566d88933355c70?fccid=1bcbae2e6c3cd196&vjs=3
Assistant Manager- Business Setup,Venture Zone Corporate Services LLC,Dubai,"Candidate must have enough knowledge of setting up a company in Mainland, Free Zone, Onshore / Offshore and Business Setup in the United Arab Emirates.",,17 days ago,https://ae.indeed.com/company/VENTURE-ZONE-CORPORATE-SERVICES-LLC/jobs/Assistant-Manager-e6ec3d91c86f930c?fccid=639dd396954e6fd3&vjs=3
Executive Assistant to Group Managing Director,Al Shamsi Holdings,Dubai,"Along with that, they will also be responsible for the business-related tasks such as creating reports, taking minutes, drafting/ composing emails, office…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=b7ed3d9268d9138c&fccid=836efa2cb13a9b23&vjs=3
Engineering Coordinator,Golden Sands Hotel Apartments,Dubai,"Maintain adequate supplies of office Stationery.
Provides Administrative support to the Maintenance Managers/ Assistant Manager, Public Area/ Building…",,Just posted,https://ae.indeed.com/company/Golden-Sands-Hotel-Apartments/jobs/Engineering-Coordinator-d44efc34583676fd?fccid=bea579635575781b&vjs=3
Operations Coordinator Assistant,Auto Deals,Dubai,"Responsible for the Show room Arrangement.
Including Checklist / Reporting and daily responsibilities.
Ensuring Showroom is on a well-maintained manner.",,19 days ago,https://ae.indeed.com/company/Auto-Deals/jobs/Operation-Coordinator-Assistant-e155732e3412987d?fccid=7ff91d6e5b437101&vjs=3
Secretary cum Accounts Assistant,Water Technology Treatment Equip LLC,Sharjah,"Required Female Secretary cum Accounts Assistant aware of basic accounts and of all day-to-day operations, preparations LPO, Delivery notes, and office…",,6 days ago,https://ae.indeed.com/company/Water-Technology-Treatment-Equip.-LLC/jobs/Secretary-Cum-Account-Assistant-0abb33e78e880cd6?fccid=ccca0a7ca5c4d61e&vjs=3
Office Girl/Assistant,Photography Studio in Sharjah,Sharjah,"Monitoring office supplies/stationaries and pantry supplies.
Urgently required Office Assistant for a Photography Studio in Sharjah..",,6 days ago,https://ae.indeed.com/company/studioavontif/jobs/Office-Girl-Assistant-f3b1d4ad33b934b5?fccid=e3c4b4badfe094f3&vjs=3
Personal Assistant to Managing Director,ANONYMOUSLY,Dubai,"Strong organizational skills, establish office systems and work accurately.
Advanced proficiency in all Microsoft Office and Adobe Photoshop applications, or…",,15 days ago,https://ae.indeed.com/company/ANONYMOUSLY/jobs/Personal-Assistant-Managing-Director-49d47972af18f166?fccid=6b0d8508c014ba47&vjs=3
Admin Assistant,Just Talent,Dubai,"Provide office support services in order to ensure efficiency and effectiveness in the office.
Administrative assistant: 4 years (Preferred).",,30+ days ago,https://ae.indeed.com/company/Just-Talent/jobs/Admin-Assistant-6e2253a6409e16c7?fccid=40a44b729c3b663f&vjs=3
Senior Accountant - DONOT APPLY IF NO RELEVANT EXPERIENCE,Bab Al Rayan,Sharjah,"Office assistant: 1 year (Preferred).
Job Types: Full-time, Permanent.",,8 days ago,https://ae.indeed.com/company/BAB-AL-RAYAN-INKS-AND-PRINTING-MAT-TRD-LTD/jobs/Senior-Accountant-939df42a08091beb?fccid=f8a722ac2ab70f91&vjs=3
sales & office administrator,AFS freight Services,Sharjah,"Administrative assistant: 1 year (Preferred).
Job Types: Full-time, Permanent.",,28 days ago,https://ae.indeed.com/company/AL-AZAAN-FREIGHT/jobs/Sales-Office-Administrator-6d7091cb60df69bd?fccid=220b3d33ca9cbcc3&vjs=3
FEMALE OFFICE ASSISTANT CUM ACCOUNTANT,AL Tamimi shipping services llc,Dubai,"The applicant should report to the office in time ,.
The applicant should have sound knowledge of ms office and should be graduate.",,28 days ago,https://ae.indeed.com/company/AL-Tamimi-shipping-services-llc/jobs/Female-Office-Assistant-Cum-Accountant-0fae2d2a3bb90705?fccid=8d480fead34caf45&vjs=3
Executive Secretary,Awesome Power Contracting L.L.C,Dubai,"Familiarity with office organization and optimization techniques.
Proven work experience as a secretary or administrative assistant.",,19 days ago,https://ae.indeed.com/company/Awesome-Power-Contracting-L.L.C/jobs/Executive-Secretary-e678eb67aaa0a06d?fccid=6e5f19725e691344&vjs=3
OFFICE ASSISTANT CUM TALLY EXPERIENCE,VISTA VENTURE,Dubai,"No refresher. minimum 2 years working experience in UAE or in the back home.
Job Types: Full-time, Permanent.",,26 days ago,https://ae.indeed.com/company/GETWAY-PRE-FABRICATION-CONCRETE-HOUSE-CONTRACTING-LLC/jobs/Office-Assistant-Cum-Tally-Experience-7b5d9da0fa8570b4?fccid=a63a98768454a800&vjs=3
Receptionist / Admin Assistant,Caretouch Dental Orthodontic Center,Ras al-Khaimah,"Direct visitors to the appropriate person and office.
Keep updated records of office expenses and costs.
Order front office supplies and keep inventory of stock…",,16 days ago,https://ae.indeed.com/company/Caretouch-Dental-Orthodontic-Center/jobs/Receptionist-1168a77b6be01379?fccid=481d953439b7801b&vjs=3
Administrative Asst./ Coordinator,Multiplex Cleaning Services,Dubai,"Update and maintain office policies and procedures.
Order office supplies and research new deals and suppliers.
Plan meetings and take detailed minutes.",,24 days ago,https://ae.indeed.com/company/Multiplex-Cleaning-Services/jobs/Administrative-Assistant-38023a1668bca389?fccid=cbf11d449b5008f1&vjs=3
Administrative Assistant Cum sales,Freeline Maintenance and cleaning services LLC,Dubai,"We are looking for experienced female candidates for office administrative assistant cum sales, the candidate must have two yrs minimum experience in UAE market…",,27 days ago,https://ae.indeed.com/company/freeline-Maintenance-and-cleaning-services-LLC/jobs/Administrative-Assistant-Cum-Sales-b9ae660f833e2c23?fccid=689ce2c2859f4634&vjs=3
Housekeeping Office Coordinator /Order Taker,GRAND EXCELSIOR HOTEL DEIRA,Dubai,"Take charge and operate office without supervision for long periods.
Check that all inter-office memos are dispatched and collected.",,30+ days ago,https://ae.indeed.com/company/GRAND-EXCELSIOR-HOTEL-DEIRA/jobs/Housekeeping-Office-Coordinator-6b07226de742dd6c?fccid=cc2e7500aec8111d&vjs=3
Receptionist / Admin Assistant,AMS International,Dubai,"Must be fluent in English and Hindi.
Customer service: 1 year (Preferred).",,29 days ago,https://ae.indeed.com/company/AMS-MARINE/jobs/Receptionist-dda27fab53a4d48f?fccid=da7fd19583529fd2&vjs=3
Female Russian Speaker Office Office Administrator,PEROrient Building Contracting LLC,Dubai Silicon Oasis,"Proven experience as an office administrator, office assistant or relevant role.
The tasks of the office administrator will include bookkeeping and mentoring…",,3 days ago,https://ae.indeed.com/company/PEROrient-Building-Contracting-LLC/jobs/Female-Russian-Speaker-Office-Office-Administrator-788a1f08753c3f5e?fccid=e512483c925cdd4e&vjs=3
Personal Assistant,GI Pharma,Dubai,"Devise and maintain office filing system.
In-depth knowledge of MS Excel, office management systems and procedures.
Job Types: Full-time, Permanent.",,28 days ago,https://ae.indeed.com/company/ShineDubai/jobs/Personal-Assistant-e7c1746bc08e906e?fccid=917c3845561dbae1&vjs=3
Admin cum Accounts Assistant MATERNITY COVER,EOMAC,Dubai,"Track office licenses, leases and insurances.
With projects located throughout the GCC an administrator cum accountant is required to support the operation,…",,4 days ago,https://ae.indeed.com/company/EOMAC-UK-Ltd./jobs/Admin-Cum-Account-Assistant-Maternity-Cover-a6a7312996f3bbe2?fccid=109d5ce52a89a424&vjs=3
Accountant and Admin Executive and Secretary,Diamond Legal Translation,Dubai,"Bank Reconciliations and payment preparation.
Professional using Tally ERP.
Job Types: Full-time, Contract, Permanent.",,8 days ago,https://ae.indeed.com/company/Diamond-Legal-Translation/jobs/Accountant-Admin-Executive-Secretary-90d311f2051510c8?fccid=b33537e19e3f7864&vjs=3
Female Accounts Assistant,MERCURY FREIGHT SERVICES FZE,Sharjah,"Accounts assistant: 1 year (Required).
This position will interact directly with the Owner.
Participates in the preparation of various financial statements and…",,30+ days ago,https://ae.indeed.com/company/Mercury-Freight-Services-FZE/jobs/Female-Account-Assistant-6ac94d4aac4af2d5?fccid=b5a39c87c6c5e756&vjs=3
Sales Coordinator Assistant,New Horizon Building Material Trading LLC,Al Qusais,"Candidate should have strong hold on written and spoken English.
Well versed with computer and can handle independently all the correspondences.",,5 days ago,https://ae.indeed.com/company/New-Horizon-Building-Material-Trading-LLC/jobs/Sales-Coordinator-Assistant-15cdfc154cfd1d7a?fccid=7213792c23fc1c90&vjs=3
Assistant Financial Controller,AVANA Capital,Dubai,"Years of Experience: At least 10 years.
Education: Degree in Accounting or any related Finance courses.
Must be: CA/Member of ICAI, ACCA or CPA.",,26 days ago,https://ae.indeed.com/company/AVANA-Capital/jobs/Assistant-Financial-Controller-4bf0d5d16a11c1be?fccid=7c823cf91e02f634&vjs=3
General Assistant,Group L,UAE,"Clean office premises, kitchen area and equipment as per prescribed hygiene standards to ensure that it.
No formal education is required although some numerical…",,Today,https://ae.indeed.com/rc/clk?jk=6b9d41644263ea41&fccid=cf20bd4f52dd7f49&vjs=3
Travel Agent/Admin/Customer Services,ATG WORLD,Dubai,"Ordering and taking stock of office supplies.
Answering and directing phone calls to relevant staff.
Taking notes and minutes in meetings.",,24 days ago,https://ae.indeed.com/company/ATG-World/jobs/Travel-Agent-Admin-Customer-Service-ad8f5d481d79d2f2?fccid=bc2beb1e23c6cad8&vjs=3
Digital Sales (Marketing) Coordinator/Assistant,Katrina Sweets & Confectionary,Dubai,"Past experience in Food & Beverage and\\or Retail industry projects is an advantage.
To communicate with designer\\agency to update\\create the prices\\items\…",,2 days ago,https://ae.indeed.com/company/Katrina-Sweets/jobs/Digital-Sales-Coordinator-Assistant-f6ad61e5e8249356?fccid=ce8be34db6acc0b5&vjs=3
office helper,lookatmeprint.com,Sharjah,"Office assistant: 1 year (Preferred).
Printing help and cleaning of the printing floor.
Job Types: Full-time, Permanent.",,24 days ago,https://ae.indeed.com/company/lookatmeprint.com/jobs/Office-Helper-f29ec1315a2d63d7?fccid=c2cd88cb264c1335&vjs=3
ADMIN ASSISTANT,Real Estate Company - Dubai,Jebel Ali,"Previous experience in Office admin work preferred.
Job Types: Full-time, Permanent.
Office Admin: 2 years (Preferred).",,5 days ago,https://ae.indeed.com/company/White-Feather-Properties/jobs/Admin-Assistant-643fb050853bdb9f?fccid=43540221c9b4351e&vjs=3
Female Medical Receptionist,En Vogue Beauty Center,Dubai,"At least 3 full years of direct experience as a medical office receptionist in a fast-paced clinic, hospital, or similar healthcare setting.",,28 days ago,https://ae.indeed.com/company/En-Vogue-Beauty-Center/jobs/Female-Medical-Receptionist-c3a2b5796452b7b6?fccid=62866be454a31ed3&vjs=3
Front Desk Officer,Caremonde Day Surgical Center L.L.C,Dubai,"Arabic and English Speaker is mandatory.
Preferably can communicate in English as well.
As the receptionist, you will handle phone, social media, and face-to…",,3 days ago,https://ae.indeed.com/company/Caremonde-Day-Surgical-Center-L.L.C/jobs/Front-Desk-Officer-11af73c776ff1de9?fccid=65c520b3959e7319&vjs=3
Executive Assistant (Arabic Speaking/ German Speaking),SellAnyCar.com,Dubai,Ensure documents are filed in a systematic way and are readily available to the CEO when requested Manage external contacts and proactively understands who they…,,1 day ago,https://ae.indeed.com/rc/clk?jk=dd3d77a5077079b8&fccid=4a24448e569ea51e&vjs=3
Office Assistant cum clener,Usman Butt Electro Mechanical Services,Umm al-Quwain City,"Office asst cum clener have english or urdu hindi specking min high school have good flexable skills.
Job Types: Full-time, Permanent.",,14 days ago,https://ae.indeed.com/company/Usman-Butt-Electro-Mechanical-Services/jobs/Office-Assistant-Cum-Clener-5e61a8de32d751b3?fccid=96d88edb37b000e3&vjs=3
Real Estate Admin Assistant |Experienced in Brokerage Firm,Achiever Properties LLC,Dubai,"Administrative assistant: 1 year (Required).
Day-to-day operations include answering the telephone, taking messages, scheduling appointments.",,30+ days ago,https://ae.indeed.com/company/Achiever-Properties-LLC/jobs/Real-Estate-Admin-Assistant-Experienced-Brokerage-Firm-20d8397bce6b23af?fccid=650752aad9a870c9&vjs=3
Administrative Assistant cum Accountant,AST Plus Technical Services LLC,Dubai,"Ability to take office full responsibility.
Excellent written and spoken communication skills.
Excellent computer and administration skills.",,28 days ago,https://ae.indeed.com/company/AST-Plus-Technical-Services-LLC/jobs/Administrative-Assistant-Cum-Accountant-c038015a3faf66cb?fccid=5a3ed0c07ccb8b95&vjs=3
Property Consultant,Expert Properties,Dubai,"Administrative assistant: 2 years (Required).
Clear and Effective communication skills.
Creates a business to find buildings, projects, developments, apartments…",,26 days ago,https://ae.indeed.com/company/Expert-Properties/jobs/Property-Consultant-46d9c429db204ee5?fccid=4e1e74d80b7cf92b&vjs=3
Store Manager,Al Shamsi Holdings,Dubai,A Store Manager manages all activities necessary to the efficient operations of the store and provide prompt and courteous service to customers in order to…,,30+ days ago,https://ae.indeed.com/rc/clk?jk=84252cf7e597148e&fccid=836efa2cb13a9b23&vjs=3
Executive Administrator,Five Continent,Abu Dhabi,"Bachelor’s degree, MS office and training courses in Office Management & Administration.
Responsible for calendar management, requiring interaction with both…",,23 days ago,https://ae.indeed.com/company/Five-Continents-Technical-&-Industrial-Services-Est./jobs/Executive-Administrator-883f168c25763e2e?fccid=193555cfe31f98bc&vjs=3
Export & Logistics Coordinator,We Search 360,Dubai,"- Good command of MS Office - Excel.
You will be the point of contact for customers and sales team with queries about products, orders and deliveries as well…",,21 days ago,https://ae.indeed.com/company/We-Search-360/jobs/Export-Logistic-Coordinator-e212fb8296fe2ec7?fccid=1be79cb3a0e5b423&vjs=3
Operations Assistant - Shipping,KFS,Abu Dhabi,"Monitoring and circulating the weather forecast to the vessels and concerned departments.
Monitoring and reporting vessels positions and ROB’s to the concerned…",,7 days ago,https://ae.indeed.com/company/KFS/jobs/Operation-Assistant-d5b1ab1c8c2f1fd5?fccid=48e4ece2ec56a048&vjs=3
Office Assistant,Careers International,Abu Dhabi,"Job Types: Full-time, Permanent.",,8 days ago,https://ae.indeed.com/company/Careers-International/jobs/Office-Assistant-01d2e2ca9459b142?fccid=9164637f37d34300&vjs=3
Assistant Accountant cum Receptionist - Female Candidates Only,Sportland FZCO,Dubai,"Ensures knowledge of staff movements in and out of the office during office hours and maintaining a log sheet of the same.
Job Types: Full-time, Permanent.",,20 days ago,https://ae.indeed.com/company/Sportland-FZCO/jobs/Assistant-Accountant-Cum-Receptionist-6385dbe10c46c04c?fccid=d6ec4d7dc3d55526&vjs=3
Warehouse Assistant cum Scanning Operator,Back Office FZ LLC,Dubai,"Candidate should have knowledge about scanning, archiving, and documentation.
Candidates should be physically fit for manual work as the job role requires work…",,16 days ago,https://ae.indeed.com/company/XYZ/jobs/Warehouse-Assistant-Cum-Scanning-Operator-d0231cc2883aa1da?fccid=4973d08fa9c79d3e&vjs=3
Office Assistant - Russian Speaker (with Finance exp),Search & Select Management,Dubai,"Office administration: 2 years (Required).
With at least 3 to 5 years of experience in office administration.
Prepare administrative, financial and supply chain…",,11 days ago,https://ae.indeed.com/company/search-&-select-management/jobs/Office-Assistant-f87d77e1f053cda8?fccid=becb9370696b2af7&vjs=3
Admin Assistant/Receptionist,GHP Quality Consultants,Dubai,"Administrative assistant: 1 year (Preferred).
Provides general office support with a variety of clerical activities and related tasks.",,15 days ago,https://ae.indeed.com/company/GHP-Quality-Consultants/jobs/Admin-Assistant-Receptionist-a22cf32ac162e8e8?fccid=6095d87b420d0850&vjs=3
Personal Assistant cum Admin,Be Unique,Dubai,"Proven admin or assistant experience.
We have a requirement for a Superstar Female Personal Assistant cum Admin to join us on a full-time basis.",,21 days ago,https://ae.indeed.com/company/Be-Unique/jobs/Personal-Assistant-Cum-Admin-75dd27f0a062a0ff?fccid=12cd130a1470ff03&vjs=3
Administrator,Be Unique,Dubai,"Proven admin or assistant experience.
Excellent time management skills and ability to multitask and prioritize work.
Job Types: Full-time, Permanent.",,1 day ago,https://ae.indeed.com/company/Be-Unique/jobs/Administrator-f4fca499cd6760a1?fccid=12cd130a1470ff03&vjs=3
secretary cum digital marketing,BIN RASHID FURNITURE,Dubai,"Develop and implement office procedures.
Set up and oversee administrative policies and procedures for offices and/or organizations.",,4 days ago,https://ae.indeed.com/company/BIN-RASHID-FURNITURE/jobs/Secretary-Cum-Digital-Marketing-e13d1c77a212d3e4?fccid=200815417aedc4d6&vjs=3
Warehouse Assistant - Distribution,CAVALIER SHOES,Dubai,"Arrangement of loaded materials as per the Delivery Challan (DC) issued from office.
Preparing and completing warehouse orders for delivery or pickup according…",,30+ days ago,https://ae.indeed.com/company/CAVALIER-SHOES/jobs/Warehouse-Assistant-5a41d686d5ca13b2?fccid=7ea786f1c6861172&vjs=3
COMMERCIAL ASSISTANT - (MALE / FEMALE),Dynatrade,Dubai,"Job: Handling all commercial activities related to the sales & service business, including invoice generation & submission, payment follow-up, collection,…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=34f886ad6e4c3199&fccid=e5927b2fecc44906&vjs=3
Office Secretary,Bionics Medical Equipments Trading LLC,Dubai,"Familiarity with office organization and optimization techniques.
Proven work experience as a secretary or administrative assistant.",,30+ days ago,https://ae.indeed.com/company/Bionics-Trading-FZE/jobs/Office-Secretary-af1e408530c3306b?fccid=902590eabf3b41db&vjs=3
Accounts Assistant cum Night Auditor,Grand Central Hotel,Dubai,"Assist in day to day finance operations and he / she is primarily responsible for computing, recording, collecting, analyzing and verifying numerical data for…",,29 days ago,https://ae.indeed.com/company/Grand-Central-Hotel/jobs/Account-Assistant-Cum-Night-Auditor-d1c5c3430ec7d267?fccid=f4e6c4fb0b1497bd&vjs=3
Office Correspondence Cum Accountant,SFS ENTERPRISE LLC....... DEIRA - DUBAI,Dubai,"Job Types: Full-time, Permanent.
Job Types: Full-time, Permanent.
Business Developments: 1 year (Preferred).
Business development: 1 year (Preferred).",,25 days ago,https://ae.indeed.com/company/SFS-ENTERPRISE-LLC/jobs/Office-Correspondence-Cum-Accountant-d7768d2ca09fe369?fccid=801a077c66efaf76&vjs=3
motorcycle driver plus office assistant female,CLASSIC EXPRESS DELIVERY SERVICES LLC,Dubai,"MOTOR BIKE RIDERS WITH VALID UAE MOTOR BIKE LICENSE.
Job Types: Full-time, Permanent.",,21 days ago,https://ae.indeed.com/company/CLASSIC-EXPRESS-DELIVERY-SERVICES-LLC/jobs/Motorcycle-Driver-Plus-Office-Assistant-Female-a3ee938047087109?fccid=e7584d39a6183fc2&vjs=3
Lady Accountant Cum Admin Executive,Customex,Dubai Free Zone,"Manage office supplies and purchasing.
Administrative assistant: 1 year (Preferred).
Handle office and employee governmental activities such as renewal of trade…",,30+ days ago,https://ae.indeed.com/company/Customex/jobs/Lady-Accountant-Cum-Admin-Executive-90cb19947eefc6d6?fccid=26bf32da245c4d9b&vjs=3
Administrative Assistant with Sales and SEO/Digital Marketing Experience,Home360,Dubai,"Administrative assistant: 1 year (Preferred).
Knowledge of facility management industry – maintenance/repairs of homes and offices.",,22 days ago,https://ae.indeed.com/company/Home360/jobs/Administrative-Assistant-Sales-SEO-Digital-Marketing-Experience-7cd6f73bfeed1fb7?fccid=3c1aabedca2be367&vjs=3
Personal Assistant to Real Estate Agent (AED 2K Only),Valorem Real Estate Brokers,Dubai,"Full understanding of Microsoft office.
At least 2 years previous experience as a personal assistant.
Looking for a talented personal assistant to a C-Level…",,28 days ago,https://ae.indeed.com/company/Valorem-Real-Estate-Brokers/jobs/Personal-Assistant-Real-Estate-Agent-b6f2a4850c8ad66b?fccid=dd616958bd9ddc12&vjs=3
Operations Assistant - Temporary (Own Visa),Ultimate HR Solutions,Dubai,"Operates office equipment in terms of photocopying and scanning.
One of the government entities in Dubai is currently looking to hire Operations Assistant …",,7 days ago,https://ae.indeed.com/company/Ultimate-HR-Solutions/jobs/Operation-Assistant-68e288966f241773?fccid=c45627dbd85626d8&vjs=3
Assistant Manager (Female; Russian Speaker),ST GROUP,Dubai,"Required: Accounting Background experience, office work experience*.
Stone Tree Vacation Homes provides property management services to owners and investors and…",,29 days ago,https://ae.indeed.com/company/ST-GROUP/jobs/Assistant-Manager-5496994dbb1f6f08?fccid=8e12247b2c2a45f7&vjs=3
Female Russian Sales Assistant and Receptionist,LUXURY ANTONOVICH DESIGN,Dubai,"Direct visitors to the appropriate person and office.
Keep updated records of office expenses and costs.
Order front office supplies and keep inventory of stock…",,5 days ago,https://ae.indeed.com/company/Luxury-ANTONOVICH-Design/jobs/Female-Russian-Sales-Assistant-Receptionist-7896c5fe6c6177f0?fccid=4926eafa0a2f522c&vjs=3
Driver cum Assistant,Sea Shell Shop Materials Trading LLC,Dubai,"Picking up office purchases or other administrative needs.
They must help the company with any other assistant tasks given by the management.",,22 days ago,https://ae.indeed.com/company/Sea-Shell-Shop-Materials-Trading-LLC/jobs/Driver-Cum-Assistant-dfb492e86f7923d0?fccid=47233188711820d6&vjs=3
